Wissenschaftlicher Name,BE,BB,DE,GS,Vorzugshabitate,Ökol_Typ,Gefährdungsursachen
Pristaulacus gloriator (FABRICIUS)*,0,D,,,"B, W, WG",par,"2a, 9, 12b"
Chrysis fasciata OLIVIER*,0,G,G,,"WM, WW, 
WG",par,"2a, 12b, 14g"
Chrysis iris CHRIST,0,1,2,,"B, WG",par,"2a, 12b, 14g"
Chrysis mediata LINSENMAIER*,0,3,-,,"AT, AW",par,"2a, 12a, 14a, 
14g"
Chrysis ruddii SHUCKARD*,0,-,-,,"R, GS, AT",par,"2a, 14g"
Chrysis scutellaris FABRICIUS,0,D,3,,"R, GT?",par,"1a?, 2a?, 
12a?, 14a?, 
14g?"
Chrysis sexdentata CHRIST*,0,D,G,,"R, GT, AD",par,"1a?, 2a?, 
12a?, 14a?. 
14g?"
Chrysura radians (HARRIS)*,0,0,G,,"B, AT, AW",par,"2a?, 12a?, 
14a?, 14g?"
Elampus bidens (FÖRSTER),0,0,G,,"B?, WG?",par,14g?
Elampus constrictus (FÖRSTER)*,0,-,D,,"R, GT",par,"2a?, 14g?"
"Euchroeus purpuratus (FABRICI-
US)*",0,G,2,,"R, GT, H",par,"1a, 2a, 12a, 
14g?"
Omalus biaccinctus (BUYSSON)*,0,-,D,,"B, WG",par,"12b, 14g?"
Parnopes grandior (PALLAS),0,1,1,,"GT, AD",par,"1a, 2a, 8d, 
12a, 14a, 14g"
Spinolia unicolor (DAHLBOM),0,1,1,,"GT, AD",par,"1a, 2a, 8d, 
12a, 14a, 14g"
Dasylabris maura (LINNAEUS)*,0,3,3,,"GT, H, AD",par,"1a, 2a, 7a, 8, 
12a, 14a, 14g"
Methocha articulata (LATREILLE)*,0,3,-,,"R, GT, AD, 
AT",par,"1a, 3a, 7a, 8, 
12a, 14a"
Tiphia minuta VANDER LINDEN*,0,0,3,,"R, GT, GST",par,"1a, 2a, 7a, 8, 
12a"
Tiphia villosa FABRICIUS*,0,G,1,,"R, GT, GST",par,"1a, 2a, 7a, 8, 
12a"
Allodynerus rossii (LEPELETIER),0,G,-,,"B, WG, AT, 
AW",en/hy,"2a, 12b"
Ancistrocerus antilope (PANZER)*,0,1,-,,"B, WG, AT, 
AW",en/hy,"2a, 12b"
"Ancistrocerus parietum (LIN-
NAEUS)",0,3,-,,"FR, SR, B, 
WG, AT, AW",en/hy,"2a, 12a"
Ancistrocerus scoticus (CURTIS),0,0,-,,?,en/hy,"1a?, 2a?, 14a?"
Discoelius zonalis (PANZER),0,2,3,,"FR, SR, W,",hy,"9, 12b, 14a"
Microdynerus timidus (SAUSSURE),0,D,-,,"B, WG, AT, 
AW",en/hy,2a
"Stenodynerus xanthomelas 
(HERRICH-SCHAEFFER)",0,D,-,,"B, WT",hy,"2a, 9a, 12b"
"Arachnospila alvarabnormis 
(WOLF)*",0,0,2,,"GT, AD",en,"1a, 2a, 8a, 8d, 
8e, 14a"
"Arachnospila fuscomarginata 
(THOMSON)*",0,2,3,,"GT, H, AD",en,"1a, 2a, 8a, 8d, 
8e, 12a, 14a"
Arachnospila hedickei (Haupt),0,2,G,,"GT, H, WK",en,"1a, 2a, 14a?"
"Arachnospila minutula (DAHL-
BOM)*",0,-,-,,"GT, WG",en,"1a?, 2a?"
"Arachnospila virgilabnormis 
WOLF*",0,G,2,,"R, AD",en,"1a, 2a, 8d, 8e, 
12a, 14a"
"Arachnospila westerlundi (F. 
MORAWITZ)*",0,1,2,,AD,en,"1a, 2a, 8d, 
12a, 14a"
Batozonellus lacerticida (PALLAS),0,0,0,,"WK, H, AD",en,"1a, 8d, 8e, 9a, 
14a"
Ceropales albicinctus (ROSSI),0,0,0,,"AD, AT?",par,"1a?, 14a, 14g?"
Ceropales maculatus (FABRICIUS),0,G,-,,"GT, WG, AT",par,"2a, 8?"
"Cryptocheilus fabricii (VANDER 
LINDEN)",0,2,G,,"R, GT",en,"1a, 2a, 7a, 8a, 
12a, 14a"
Evagetes proximus (DAHLBOM)*,0,D,D,,"H, WG, AD, 
AT",par,"2a, 9, 12a, 14g"
Priocnemis hankoi MÓCZÁR,0,G,G,,"GT, WG",en,"1a, 2a"
Priocnemis schioedtei HAUPT,0,-,-,,"GT, WG",en,2a
Podalonia luffii (SAUNDERS)*,0,2,2,,AD,en,"1a, 8d, 12a, 
14a"
Sphex funerarius GUSSAKOVSKIJ*,0,0,G,,"R, GT AD",en,"1a, 2a, 8a, 8d, 
8e, 12a, 14a"
Brachystegus scalaris (ILLIGER),0,0,0,,"GT, WG, AD",par,"1a, 8d, 12a, 
14g"
"Crossocerus capitosus (SHU-
CKARD)",0,-,-,,"B, W, WG, P",hy,"2a, 12b?"
"Crossocerus dimidiatus (FABRICI-
US)",0,-,G,,"B, W, WG, 
AW",en/hy,"2a, 12b?"
Crossocerus tarsatus (SHUCKARD),0,2,-,,"R, WG, AW",en,2a?
"Ectemnius borealis (ZET-
TERSTEDT)",0,-,-,,"B, W, WG",hy,"2a, 12b"
Ectemnius confinis (WALKER),0,G,3,,"FR, SR",hy,"2d, 12c, 14a"
Ectemnius fossorius (LINNAEUS),0,1,1,,"WM, WW",hy,"12b, 12c, 14a"
Ectemnius rugifer (DAHLBOM),0,1,1,,WG?,hy,"2a?, 12b?"
Gorytes albidulus (LEPELETIER),0,0,0,,GT?,en,"1a?, 2a, 12a?, 
14a?"
"Gorytes quadrifasciatus (FABRICI-
US)*",0,-,G,,"R, G",en,"1a, 2a, 12a"
Lestiphorus bicinctus (ROSSI)*,0,G,-,,WG,en,"2a, 12a?"
Mellinus crabroneus (THUNBERG),0,2,V,,"WG, AT",en,"2a, 12a"
Mimumesa littoralis (BONDROIT),0,2,2,,"R, AD?",en,"1a, 2a, 12a, 
14a"
Miscophus postumus BISCHOFF*,0,1,1,,"R?, GT?",en,"1a, 2a, 12a?, 14a?"
Nitela fallax KOHL,0,0,2,,"B, WG",hy,"2a, 12b"
Nysson spinosus (FORSTER),0,G,-,,"GS, WG",par,?
Oxybelus dissectus DAHLBOM,0,0,0,,GT?,en,"1a?, 2a?, 
12a?, 14a?"
Oxybelus lineatus (FABRICIUS),0,0,0,,"GT, AD",en,"2a, 12a?, 14a"
"Oxybelus mucronatus (FABRICI-
US)*",0,1,1,,"GT, AD",en,"1a?, 2a, 12a?, 
14a"
Oxybelus uniglumis (LINNAEUS),0,-,-,,"R, GT, WG, 
AT",en,2a?
Stizus perrisii DUFOUR,0,0,0,,GT?,en,"1a, 2a?, 8a, 
8e, 14a?"
"Tachysphex panzeri (VANDER 
LINDEN)*",0,2,2,,AD,en,"2a, 12a, 8d, 
14a"
Andrena chrysopyga SCHENCK,0,2,2,§,"GT, H",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Andrena gelriae VANDER VECHT*,0,3,3,§,"GT, WG",en,"2a, 6d, 7a, 8a"
Andrena lathyri ALFKEN,0,G,-,§,"R, GT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Andrena marginata FABRICIUS,0,0,2,§,"GF, GT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Andrena morio BRULLÉ*,0,0,1,§,"R, GT, AD",en,"1a, 2a, 6d, 7a, 
8a, 8d, 14a"
Andrena nasuta GIRAUD,0,2,2,§,"R, AT",en,"1a, 2a"
"Anthophora quadrifasciata (VIL-
LERS)*",0,0,1,§,"R, AT, AW",en,"1a, 2a, 12a, 
14a"
Bombus barbutellus (KIRBY)*,0,0,-,§,"G, WG, P",par,2a?
Bombus confusus SCHENCK,0,2,2,§,GT,en/hy,"1a, 2a, 8a, 8e, 
14a"
Bombus jonellus (KIRBY)*,0,2,3,§,"MA, MM, H",en/hy,"1a, 2a, 8, 14a"
Bombus pomorum (PANZER),0,1,2,§,"G, WG",en,"1a, 2a"
Bombus ruderatus (FABRICIUS)*,0,G,G,§,G,en,"1a, 2a, 6d, 8a, 
8e"
Coelioxys brevis EVERSMANN,0,2,2,§,"AD, AT",par,"1a, 2a, 8d, 
12a, 14a, 14g"
Colletes caspicus F. MORAWITZ*,0,0,0,§,?,en,"1a?, 2a?, 14a?"
Dufourea dentiventris (NYLANDER,0,0,3,§,"GT, WG",en,2a
Eucera macroglossa ILLIGER,0,0,2,§,R,en,"1a, 2a, 8e, 14a"
Eucera nigrescens PÉREZ,0,G,-,§,"GM, GT",en,"1a, 2a, 14a"
Eucera salicariae (LEPELETIER),0,1,3,§,"GT, GF, 
GSF, AT",en,"1a, 6a, 8c, 
12c, 14a"
Halictus eurygnathus BLÜTHGEN,0,0,-,§,"R, GT, AT",en,"1a, 2a, 7a?, 8?"
Hylaeus difformis (EVERSMANN),0,G,-,§,"R, WG, AD, 
AT, AW",en/hy,"2a, 12a"
Hylaeus pfankuchi (ALFKEN)*,0,G,G,§,"FR?, SR",hy,"2a, 3b, 12c, 
14a"
"Lasioglossum costulatum 
(KRIECHBAUMER)*",0,3,3,§,"R, GT, WG, 
AT",en,"2a, 6d"
"Lasioglossum interruptum (PAN-
ZER)",0,0,3,§,"R, GT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Lasioglossum laeve (KIRBY),0,0,2,§,"R, GT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Lasioglossum lineare (SCHENCK),0,3,3,§,"R, GT, AT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
"Lasioglossum prasinum (F. 
SMITH)*",0,1,2,§,"H, AD",en,"1a, 2a, 8d, 
12a, 14a"
Megachile apicalis SPINOLA,0,0,2,§,"R, GT, AT, 
AW",en/hy,"1a, 2a, 12a, 
14a"
Megachile lagopoda (LINNAEUS),0,3,2,§,"GT, AT, AW",en,"2a, 12a, 14a"
"Nomada distinguenda F. MORA-
WITZ",0,0,G,§,"R, GT, AT",par,2a?
Nomada femoralis F. MORAWITZ,0,V,G,§,"GT, H, WG, 
AT",par,"2a, 14g"
Nomada guttulata SCHENCK,0,G,G,§,"GT, B",par,"2a, 14g"
Nomada rhenana F. MORAWITZ,0,0,G,§,"R, GT, AT",par,"2a?, 14a?"
Osmia pilicornis F. SMITH,0,0,2,§,"W, WG",hy,"2a, 12b"
Stelis phaeoptera (KIRBY)*,0,3,3,§,"R, B, WG",par,"2a, 12b, 14g"
Thyreus histrionicus (ILLIGER),0,0,0,§,"AT, AW",par,"2a, 12a, 14a, 
14g"
Xylocopa violacea (LINNAEUS),0,D,V,§,"B, WG",hy,"2a, 12b"
