Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GS,GfU,Vorzugs_habitat,Letzter_Nachweis
Amblyodon dealbatus (HEDWIG) BRUCH & SCHIMPER,0,ex,,,,0,2,,"2d, 11",MM,vor 1900
Amblystegium subtile (HEDWIG) SCHIMPER,0,ex,,,,1,3,,11,"WC, WQ",vor 1900
Anomodon attenuatus (HEDWIG) HUEBENER,0,ex,,,,R,V,,11,W,um 1925
Atrichum angustatum (BRIDEL) BRUCH & SCHIMPER,0,ex,,,,R,3,,6e,LAL,vor 1900
Atrichum tenellum (RÖHLING) BRUCH & SCHIMPER,0,ex,,,,2,G,,2a,SW,vor 1900
Barbilophozia kunzeana (HUEBENER) MÜLLER FRIB.,0,ex,,,,0,2,,"2d, 11",MA,um 1925
Bartramia ithyphylla BRIDEL,0,ex,,,,1,V,,"2a, 11","WC, WQ",1948
Bazzania trilobata (LINNAEUS) GRAY,0,ex,,,,2,V,,2d,WM,1965
Blepharostoma trichophyllum (LINNAEUS) DUMORTIER,0,ex,,,,1,V,,"2a, 9a",W,vor 1900
Brachythecium glareosum (SPRUCE) SCHIMPER,0,ex,,,,3,V,,11b,GTK,um 1900
Bryum longisetum BLANDOW & SCHWAEGRICHEN,0,ex,,,,0,0,,2d,MA,vor 1900
Bryum neodamense ITZIGSOHN ex MÜLLER HAL.,0,ex,,,,1,2,,"2d, 11",MM,vor 1934
Bryum turbinatum (HEDWIG) TURNER,0,ex,,,,1,G,,5b,FQ,vor 1900
Buxbaumia viridis (LAMARCK & DE CANDOLLE) BRIDEL,0,ex,,,,0,2,II,"2a, 11","WC, WQ",vor 1900
Calliergon giganteum (SCHIMPER) KINDBERG,0,ex,,,,2,3,,"2d, 11c",MM,um 1960
Calliergon trifarium (F. WEBER & D. Mohr) KINDBERG,0,ex,,,,1,2,,"2d, 11c",MMK,um 1897
Campylium chrysophyllum (BRIDEL) LANGE,0,ex,,,,3,V,,"1, 11",GTK,1925
Campylopus flexuosus (HEDWIG) BRIDEL,0,ex,,,,3,V,,,"W, MA",1948
Cephaloziella elegans (HEEG) SCHIFFNER,0,ex,,,,0,G,,,"WK, GTS",um 1940
Cephaloziella hampeana (NEES) SCHIFFNER,0,ex,,,,G,V,,,W,vor 1960
Cephaloziella spinigera (LINDBERG) WARNSTORF,0,ex,,,,1,2,,"2d, 11",MAA,vor 1960
Chiloscyphus polyanthos (LINNAEUS) CORDA,0,ex,,,,2,*,,"5b, 11c","FBB, WE",um 1900
Dicranella rufescens (DICKSON) SCHIMPER,0,ex,,,,G,V,,2a,W,vor 1870
Dicranum bergeri BLANDOW ex HOPPE,0,ex,,,,0,2,,"2d, 11",MAA,vor 1900
Didymodon ferrugineus (BESCHERELLE) M. O. HILL,0,ex,,,,0,V,,4b,OK,1918
Didymodon sinuosus (MITTEN) DELOGNE,0,ex,,,,2,V,,"5b, 11c",FBB,1918
Diphyscium foliosum (HEDWIG) D. MOHR,0,ex,,,,1,V,,2a,"WC, WQ",vor 1900
Diplophyllum albicans (LINNAEUS) DUMORTIER,0,ex,,,,2,*,,2a,W,1925
Diplophyllum obtusifolium (HOOKER) DUMORTIER,0,ex,,,,2,V,,2a,W,vor 1900
Ditrichum flexicaule (SCHWAEGRICHEN) HAMPE,0,ex,,,,2,V,,,GTK,vor 1900
Ditrichum heteromallum (HEDWIG) E. BRITTON,0,ex,,,,R,V,,2a,W,um 1900
Ditrichum pallidum (HEDWIG) HAMPE,0,ex,,,,0,3,,2a,W,vor 1900
Drepanocladus lycopodioides (BRIDEL) WARNSTORF,0,ex,,,,1,2,,"2d, 11c",MM,1957
Entosthodon fascicularis (HEDWIG) MÜLLER HAL.,0,ex,,,,G,G,,6e,LA,vor 1900
Ephemerum serratum (HEDWIG) HAMPE,0,ex,,,,1,G,,6e,LAF,vor 1900
Fissidens exilis HEDWIG,0,ex,,,,1,V,,,W,vor 1900
Fissidens osmundoides HEDWIG,0,ex,,,,1,2,,"2d, 11",MM,1900
Fossombronia foveolata LINDBERG,0,ex,,,,2,3,,"2d, 11",MA,1965
Fossombronia wondraczekii (CORDA) DUMORTIER ex LINDBERG,0,ex,,,,1,V,,"1a, 6e","ATL, LA",um 1900
Grimmia crinita BRIDEL,0,ex,,,,0,2,,,OK,vor 1900
Grimmia hartmanii SCHIMPER,0,ex,,,,1,V,,"3a, 11d","W, AF",1952
Hamatocaulis vernicosus (MITTEN) HEDENÄS,0,ex,,,,1,2,II,"2d, 11",MM,vor 1900
Hedwigia stellata HEDENÄS,0,ex,,,,2,G,,"3a, 11d","W, AF",vor 1900
Helodium blandowii (F. WEBER & D. MOHR) WARNSTORF,0,ex,,,,1,1,,"6a, 11","FQ, MM",vor 1900
Isothecium alopecuroides (DUBOIS) ISOVIITA,0,ex,,,,3,V,,"4b, 11b","W, AF",1948
Jamesoniella autumnalis (DE CANDOLLE) STEPHANI,0,ex,,,,1,V,,"2d, 11","MA, W",um 1900
Jungermannia caespiticia LINDENBERG,0,ex,,,,0,V,,"2d, 11",W,um 1900
Jungermannia gracillima SMITH,0,ex,,,,2,*,,"2a, 12a",RRT,1902
Jungermannia leiantha GROLLE,0,ex,,,,R,V,,5b,FQB,vor 1900
Kurzia pauciflora (DICKSON) GROLLE,0,ex,,,,1,3,,"2d, 11",MAA,um 1900
Leiocolea rutheana (LIMPRICHT) MÜLLER FRIB.,0,ex,,,,0,1,,"2d, 11",MM,vor 1900
Lophozia capitata (HOOKER) MACOUN,0,ex,,,,2,2,,2d,"SP, ATL",vor 1900
Lophozia laxa (LINDBERG) GROLLE,0,ex,,,,1,1,,2d,MA,1904
Marsupella funckii (F. WEBER & D. MOHR) DUMORTIER,0,ex,,,,1,3,,,RRT,vor 1900
Meesia longiseta HEDWIG,0,ex,,,,0,0,II,"2d, 11",MMB,vor 1900
Meesia triquetra (RICHTER) ÅNGSTRÖM,0,ex,,,,0,1,,"2d, 11",MMB,vor 1900
Meesia uliginosa HEDWIG,0,ex,,,,0,3,,"2d, 11",MM,vor 1900
Nardia geoscyphus (DE NOTARIS) LINDBERG,0,ex,,,,2,V,,"2a, 12a","W, RRT",1927
Nardia scalaris GRAY,0,ex,,,,1,V,,"2a, 12a","W, RRT",1900
Neckera crispa HEDWIG,0,ex,,,,1,V,,11d,OK,1922
Paludella squarrosa (HEDWIG) BRIDEL,0,ex,,,,1,2,,"2d, 11",MM,1902
Philonotis caespitosa JURATZKA,0,ex,,,,1,3,,11c,"FG, ATK",vor 1900
Philonotis fontana (HEDWIG) BRIDEL,0,ex,,,,2,V,,11c,"FQ, MA",vor 1900
Physcomitrium eurystomum SENDTNER,0,ex,,,,2,3,,"11c, 12c",SP,um 1900
Physcomitrium sphaericum (C. F. LUDWIG) BRIDEL,0,ex,,,,1,3,,"11c, 12c",SP,um 1900
Pogonatum aloides (HEDWIG) P. DE BEAUVOIS,0,ex,,,,2,V,,2a,W,um 1900
Pohlia bulbifera (WARNSTORF) WARNSTORF,0,ex,,,,3,V,,2a,SW,1906
Pohlia camptotrachela (RENAULD & CARDOT) BROTHERUS,0,ex,,,,D,V,,2a,RR,um 1940
Pohlia cruda (HEDWIG) LINDBERG,0,ex,,,,3,V,,"2a, 11b",W,vor 1900
Pohlia elongata HEDWIG,0,ex,,,,0,2,,2a,W,1916
Pohlia sphagnicola (BRUCH & SCHIMPER) BROTHERUS,0,ex,,,,*,D,,2d,MAA,1957
Polytrichum strictum MENZIES ex BRIDEL,0,ex,,,,3,3,,"2d, 11",MAA,1938
Pseudocrossidium revolutum (BRIDEL) R. H. ZANDER,0,ex,,,,0,V,,4b,OK,1925
Pyramidula tetragona (BRIDEL) BRIDEL,0,ex,,,,0,1,,"1a, 6e",LAL,vor 1900
Riccardia chamedryfolia (WITHERING) GROLLE,0,ex,,,,2,V,,"2d, 11",MM,1958
Riccardia palmata (HEDWIG) CARRUTHERS,0,ex,,,,1,3,,,W,vor 1900
Ricciocarpos natans (LINNAEUS) CORDA,0,ex,,,,3,3,,"5b, 11c","SK, SR",1958
Scapania curta (MARTIUS) DUMORTIER,0,ex,,,,2,D,,"2a, 12a","W, RRT",vor 1900
Scapania irrigua (NEES) NEES,0,ex,,,,2,V,,"2a, 12a","W, RRT",vor 1900
Scorpidium scorpioides (HEDWIG) LIMPRICHT,0,ex,,,,1,3,,"2d, 11c",MMK,1909
Sphagnum capillifolium (EHRHART) HEDWIG,0,ex,,,,2,V,§,"2d, 11",MA,1965
Sphagnum centrale C. E. O. JENSEN,0,ex,,,,G,3,§,"2d, 11",MM,1909
Sphagnum compactum LAMARCK & DE CANDOLLE,0,ex,,,,2,3,§,"2d, 11","MA, WZ",vor 1900
Sphagnum fuscum (SCHIMPER) H. KLINGGRÄFF,0,ex,,,,1,2,§,"2d, 11",MA,1910
Sphagnum obtusum WARNSTORF,0,ex,,,,1,2,§,"2d, 11",MMB,vor 1960
Sphagnum papillosum LINDBERG,0,ex,,,,3,3,§,"2d, 11",MAA,1984
Sphagnum platyphyllum (BRAITHWAITE) SULLIVANT,0,ex,,,,1,2,§,"2d, 11c",MM,vor 1900
Sphagnum riparium ÅNGSTRÖM,0,ex,,,,2,V,§,"2d, 11c","SGD, MA",vor 1900
Sphagnum rubellum WILSON,0,ex,,,,2,G,§,"2d, 11",MAA,vor 1960
Sphagnum subsecundum NEES,0,ex,,,,1,3,§,"2d, 11",MMB,1909
Sphagnum warnstorfii RUSSOW,0,ex,,,,1,2,§,"2d, 11",MMB,1909
Splachnum ampullaceum LINNAEUS ex HEDWIG,0,ex,,,,0,2,,2d,MA,vor 1900
Thuidium delicatulum (HEDWIG) MITTEN,0,ex,,,,3,V,,,W,1965
Thuidium recognitum (HEDWIG) LINDBERG,0,ex,,,,1,V,,2a,W,vor 1910
Tomentypnum nitens (HEDWIG) LOESKE,0,ex,,,,1,2,,"2b, 6a",MMB,vor 1960
Tortula laevipila (BRIDEL) SCHWAEGRICHEN,0,ex,,,,1,3,,11d,B,vor 1900
Trematodon ambiguus (HEDWIG) HORNSCHUH,0,ex,,,,1,2,,2d,MA,vor 1900
Tritomaria exsectiformis (BREIDLER) LOESKE,0,ex,,,,1,V,,,W,um 1900
Warnstorfia exannulata (SCHIMPER) LOESKE,0,ex,,,,2,V,,"2d, 11c","SGD, MA",1956
Weissia controversa HEDWIG,0,ex,,,,3,V,,"2a, 12a","GTK, W",vor 1900
